id,name,parkName,lat,lng,lga,tourismRegion,googleQuery,googleQueryUrl,,
river-murray-reserve-jingelic-visitor-area-river-murray-reserve,"Jingelic Visitor Area, River Murray Reserve",River Murray Reserve,-35.92930519,147.7095766,TOWONG SHIRE,High Country,"Jingelic Visitor Area, River Murray Reserve River Murray Reserve site:parks.vic.gov.au/places-to-see",,,
river-murray-reserve-neils-reserve-river-murray-reserve,"Neils Reserve, River Murray Reserve",River Murray Reserve,-35.97256158,147.8121693,TOWONG SHIRE,High Country,"Neils Reserve, River Murray Reserve River Murray Reserve site:parks.vic.gov.au/places-to-see",,,
snowy-river-national-park-balley-hooley-snowy-river-national-park,"Balley Hooley, Snowy River National Park",Snowy River National Park,-37.51785,148.263889,EAST GIPPSLAND SHIRE,Gippsland,"Balley Hooley, Snowy River National Park Snowy River National Park site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/sites/cobrawonga-creek-camping-area,,
snowy-river-national-park-bull-flat-snowy-river-national-park,"Bull Flat, Snowy River National Park",Snowy River National Park,-37.08199899,148.4259991,EAST GIPPSLAND SHIRE,Gippsland,"Bull Flat, Snowy River National Park Snowy River National Park site:parks.vic.gov.au/places-to-see",,,
snowy-river-national-park-hicks-snowy-river-national-park,"Hicks, Snowy River National Park",Snowy River National Park,-37.40729917,148.3601475,EAST GIPPSLAND SHIRE,Gippsland,"Hicks, Snowy River National Park Snowy River National Park site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/sites/hicks-camping-area,,
snowy-river-national-park-little-river-junction-snowy-river-national-park,"Little River Junction, Snowy River National Park",Snowy River National Park,-37.12164179,148.3724433,EAST GIPPSLAND SHIRE,Gippsland,"Little River Junction, Snowy River National Park Snowy River National Park site:parks.vic.gov.au/places-to-see",,,
snowy-river-national-park-raymond-creek-falls-snowy-river-national-park,"Raymond Creek Falls, Snowy River National Park",Snowy River National Park,-37.48496709,148.3080789,EAST GIPPSLAND SHIRE,Gippsland,"Raymond Creek Falls, Snowy River National Park Snowy River National Park site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/sites/raymond-creek-falls-camping-area,,
snowy-river-national-park-waratah-flat-snowy-river-national-park,"Waratah Flat, Snowy River National Park",Snowy River National Park,-37.28709994,148.5724689,EAST GIPPSLAND SHIRE,Gippsland,"Waratah Flat, Snowy River National Park Snowy River National Park site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/sites/waratah-flat-campground,,
snowy-river-national-park-white-box-snowy-river-national-park,"White Box, Snowy River National Park",Snowy River National Park,-37.08120798,148.414554,EAST GIPPSLAND SHIRE,Gippsland,"White Box, Snowy River National Park Snowy River National Park site:parks.vic.gov.au/places-to-see",,,
tocumwal-r-p-eastern-section-tocumwal-r-p,"Eastern Section, Tocumwal R.P",Tocumwal R.P,-35.826948,145.553702,MOIRA SHIRE,Murray,"Eastern Section, Tocumwal R.P Tocumwal R.P site:parks.vic.gov.au/places-to-see",,,
victoria-falls-h-a-victoria-falls-camp-area-victoria-falls-h-a,"Victoria Falls Camp Area, Victoria Falls H.A",Victoria Falls H.A,-37.09108602,147.4239791,EAST GIPPSLAND SHIRE,Gippsland,"Victoria Falls Camp Area, Victoria Falls H.A Victoria Falls H.A site:parks.vic.gov.au/places-to-see",,,
wyperfeld-national-park-casuarina-campground-wyperfeld-national-park,"Casuarina Campground, Wyperfeld National Park",Wyperfeld National Park,-35.4459062,141.9961614,MILDURA RURAL CITY,Murray,"Casuarina Campground, Wyperfeld National Park Wyperfeld National Park site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/sites/waratah-flat-campground,,
